INFO : 2018-01-29 23:54:09,243 : Searching files naming sales
DEBUG : 2018-01-29 23:54:12,319 : FILE::: d:/mio\www\mixtica\wp-content\themes\mixtica\page-templates\tpl_sucursales.php  
DEBUG : 2018-01-29 23:54:13,443 : FILE::: d:/mio\www\rac\app\design\adminhtml\default\default\layout\sales.xml  
DEBUG : 2018-01-29 23:54:13,475 : FILE::: d:/mio\www\rac\app\design\adminhtml\default\default\template\customer\tab\view\sales.phtml  
DEBUG : 2018-01-29 23:54:13,506 : FILE::: d:/mio\www\rac\app\design\adminhtml\default\default\template\promo\salesrulejs.phtml  
DEBUG : 2018-01-29 23:54:13,553 : FILE::: d:/mio\www\rac\app\design\frontend\base\default\layout\sales.xml  
DEBUG : 2018-01-29 23:54:13,646 : FILE::: d:/mio\www\rac\app\design\frontend\default\iphone\layout\sales.xml  
DEBUG : 2018-01-29 23:54:13,662 : FILE::: d:/mio\www\rac\app\design\frontend\default\modern\layout\sales.xml  
DEBUG : 2018-01-29 23:54:13,803 : FILE::: d:/mio\www\rac\js\mage\adminhtml\sales.js  
DEBUG : 2018-01-29 23:54:14,868 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7232.one (El 21-03-2017).one  
DEBUG : 2018-01-29 23:54:14,868 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7398.one (El 28-02-2017).one  
DEBUG : 2018-01-29 23:54:14,868 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7557.one (El 21-03-2017).one  
DEBUG : 2018-01-29 23:54:14,868 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Fundacion\sales-7232.one (El 19-02-2017).one  
DEBUG : 2018-01-29 23:54:14,868 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Fundacion\sales-7557.one (El 19-02-2017).one  
DEBUG : 2018-01-29 23:54:21,614 : FILE::: d:/respaldo\xampp\htdocs\mixtica\wp-content\themes\mixtica\page-templates\tpl_sucursales.php  
INFO : 2018-01-29 23:54:22,103 : Searching folders naming one
DEBUG : 2018-01-29 23:54:22,181 : FOLDER::: d:/Fotos\mangas\l-dk\ch0-moeros-kei-seifuku-danshi-oneshot-bes 
DEBUG : 2018-01-29 23:54:22,197 : FOLDER::: d:/Fotos\mangas\LEIDOS\ane-doki-ane-doki\vol2-ch12-la-cosa-que-ponen-esas-letras-juntas-bes 
DEBUG : 2018-01-29 23:54:22,337 : FOLDER::: d:/mio\www\arteycemento\wp-content\plugins\facebook-twitter-google-plus-one-social-share-buttons-for-wordpress 
DEBUG : 2018-01-29 23:54:22,447 : FOLDER::: d:/mio\www\cepodo\tinymce\jscripts\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:54:22,556 : FOLDER::: d:/mio\www\rac\app\code\community\Phoenix\Moneybookers 
DEBUG : 2018-01-29 23:54:22,556 : FOLDER::: d:/mio\www\rac\app\code\community\Phoenix\Moneybookers\sql\moneybookers_setup 
DEBUG : 2018-01-29 23:54:22,603 : FOLDER::: d:/mio\www\rac\app\code\core\Mage\Adminhtml\Block\Report\Shopcart\Abandoned 
DEBUG : 2018-01-29 23:54:22,650 : FOLDER::: d:/mio\www\rac\app\code\core\Mage\Adminhtml\Model\System\Config\Clone 
DEBUG : 2018-01-29 23:54:23,106 : FOLDER::: d:/mio\www\rac\app\design\adminhtml\default\default\template\moneybookers 
DEBUG : 2018-01-29 23:54:23,169 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\moneybookers 
DEBUG : 2018-01-29 23:54:23,184 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\checkout\onepage 
DEBUG : 2018-01-29 23:54:23,184 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\downloadable\checkout\onepage 
DEBUG : 2018-01-29 23:54:23,200 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\persistent\checkout\onepage 
DEBUG : 2018-01-29 23:54:23,216 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone 
DEBUG : 2018-01-29 23:54:23,216 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone\template\checkout\onepage 
DEBUG : 2018-01-29 23:54:23,216 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone\template\downloadable\checkout\onepage 
DEBUG : 2018-01-29 23:54:23,231 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone\template\persistent\checkout\onepage 
DEBUG : 2018-01-29 23:54:23,294 : FOLDER::: d:/mio\www\rac\js\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:54:23,434 : FOLDER::: d:/mio\www\rac\skin\adminhtml\default\default\images\moneybookers 
DEBUG : 2018-01-29 23:54:23,450 : FOLDER::: d:/mio\www\rac\skin\frontend\base\default\images\moneybookers 
DEBUG : 2018-01-29 23:54:23,450 : FOLDER::: d:/mio\www\rac\skin\frontend\default\iphone 
DEBUG : 2018-01-29 23:54:23,481 : FOLDER::: d:/mio\www\tramibol\wp-content\plugins\facebook-twitter-google-plus-one-social-share-buttons-for-wordpress 
DEBUG : 2018-01-29 23:54:23,559 : FOLDER::: d:/MisDocs\andy proyecto\pds agil\programacionextrema.org-articulos-designdead.es_files 
DEBUG : 2018-01-29 23:54:23,716 : FOLDER::: d:/MisDocs\Java Master Application Developer\4. Construyendo Aplicaciones Distribuidas con Web Services y EJB 
